Shell Thickness (mm),Truss Diameter (mm),Length Variation (mm),Width Variation (mm),Young's Modulus (MPa)
0.5,1,1,1,21.72
0.5,1.3,1,1,23.37
0.5,1.6,1,1,26.09
0.5,1.9,1,1,30.19
1,1,1,1,56.22
1,1.3,1,1,58.33
1,1.6,1,1,60.82
1,1.9,1,1,66.15
1.5,1,1,1,102.59
1.5,1.3,1,1,105.41
1.5,1.6,1,1,107.71
1.5,1.9,1,1,113.91
2,1,1,1,148.36
2,1.3,1,1,151.62
2,1.6,1,1,153.66
2,1.9,1,1,160.91
0.5,1,1.2,1,28.14
0.5,1.3,1.2,1,32.14
0.5,1.6,1.2,1,40.62
0.5,1.9,1.2,1,58.4
1,1,1.2,1,61.68
1,1.3,1.2,1,62.13
1,1.6,1.2,1,66.53
1,1.9,1.2,1,72.36
1.5,1,1.2,1,80.47
1.5,1.3,1.2,1,87.87
1.5,1.6,1.2,1,97.33
1.5,1.9,1.2,1,108.12
2,1,1.2,1,112.08
2,1.3,1.2,1,118.15
2,1.6,1.2,1,126.98
2,1.9,1.2,1,139.86
0.5,1,1.4,1,25.14
0.5,1.3,1.4,1,26.73
0.5,1.6,1.4,1,32.54
0.5,1.9,1.4,1,41.56
1,1,1.4,1,51.23
1,1.3,1.4,1,53.98
1,1.6,1.4,1,
1,1.9,1.4,1,74.35
1.5,1,1.4,1,79.86
1.5,1.3,1.4,1,85.69
1.5,1.6,1.4,1,
1.5,1.9,1.4,1,102.68
2,1,1.4,1,104.56
2,1.3,1.4,1,111.3
2,1.6,1.4,1,
2,1.9,1.4,1,132.63
0.5,1,1,1.2,15.45
0.5,1.3,1,1.2,15.78
0.5,1.6,1,1.2,20.95
0.5,1.9,1,1.2,22.75
1,1,1,1.2,25.65
1,1.3,1,1.2,27.54
1,1.6,1,1.2,30.78
1,1.9,1,1.2,32.64
1.5,1,1,1.2,37.54
1.5,1.3,1,1.2,38.13
1.5,1.6,1,1.2,40.21
1.5,1.9,1,1.2,42.42
2,1,1,1.2,50.32
2,1.3,1,1.2,52.21
2,1.6,1,1.2,55.75
2,1.9,1,1.2,58.97
0.5,1,1,1.4,16.81
0.5,1.3,1,1.4,17.97
0.5,1.6,1,1.4,24.56
0.5,1.9,1,1.4,28.62
1,1,1,1.4,40.67
1,1.3,1,1.4,48.77
1,1.6,1,1.4,54.56
1,1.9,1,1.4,56.75
1.5,1,1,1.4,63.64
1.5,1.3,1,1.4,65.53
1.5,1.6,1,1.4,70.53
1.5,1.9,1,1.4,
2,1,1,1.4,80.64
2,1.3,1,1.4,84.54
2,1.6,1,1.4,
2,1.9,1,1.4,88.9
